problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,success_rate,score,seed,mean_cut,mean_normalized_cut,convergence_cycle,reference_cut,n_edges
maxcut,N500_ERp0p04,pSA,search,174,1,,,,2.8705572557269945,0.0,1.0,fixed,0.5053311239154568,0.0,0.0,0.07158550826612697,1.0049632108580038,exponential,4.506786357356323,0.810104606488564,last,818,1145,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.26,-0.6673529953655017,1477906,,0.6647529953655017,,,
maxcut,N500_ERp0p04,pSA,search,47,2,,,,0.48898946416891576,0.0,1.0,fixed,0.659176184913322,0.0,0.0,0.03133768865849685,4.93163738248969,exponential,2.006850189266652,0.8651149178775371,best_state,2358,629,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.14666666666666664,-0.665220319551127,472193,,0.6637536528844604,,,
maxcut,N500_ERp0p04,pSA,search,51,3,,,,0.7035629837777139,0.0,1.0,fixed,0.5210387052612087,0.0,0.0,0.28014151738014237,1.186381298443177,linear,0.8993001698757144,0.32597848541341845,best_state,1224,1127,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.043333333333333335,-0.6648300675694021,503869,,0.6643967342360688,,,
maxcut,N500_ERp0p04,pSA,search,26,4,,,,0.16778889194865573,0.0,1.0,fixed,0.506855849888629,0.0,0.0,1.1748210825543037,4.88091397967239,exponential,0.31355760316743636,0.3784098604788193,best_state,2434,119,3000,,,,,,,,3286.3333333333335,0.6657533708636044,1.0,0.036666666666666674,-0.6646613241215513,305894,,0.6642946574548847,,,
maxcut,N500_ERp0p04,pSA,search,99,5,,,,3.3373085035799996,0.0,1.0,fixed,0.44016034155648454,0.0,0.0,0.03839689913290937,8.649608830799417,piecewise,6.006560007946552,0.05988108250231389,best_state,2427,406,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.09666666666666668,-0.6642511474737092,883981,,0.6632844808070425,,,
maxcut,N500_ERp0p04,pSA,search,48,6,,,,0.1368919932816027,0.0,1.0,fixed,0.6175697610433841,0.0,0.0,0.0516713813977417,9.366772347920616,linear,1.2755260822118941,0.5239527521357452,last,1114,1088,3000,,,,,,,,3286.6666666666665,0.6658205887166662,1.0,0.03333333333333333,-0.6636916114712476,480112,,0.6633582781379143,,,
maxcut,N500_ERp0p04,pSA,search,123,7,,,,1.9154409204787017,0.0,1.0,fixed,0.4339630947587927,0.0,0.0,0.06335275353977048,0.5352304758469578,cosine,0.9295802075514104,0.3613039410655405,best_state,222,777,1000,,,,,,,,3287.0,0.6658875903917081,1.0,0.04,-0.6634546452252368,1074037,,0.6630546452252368,,,
maxcut,N500_ERp0p04,pSA,search,115,8,,,,4.060384054519815,0.0,1.0,fixed,0.6280283462858965,0.0,0.0,0.07613097473824153,0.4846777570375868,exponential,7.601838075084933,0.5767365709750706,best_state,594,74,1000,,,,,,,,3286.0,0.6656852109732482,1.0,0.03666666666666667,-0.6633951041046567,1010685,,0.6630284374379901,,,
maxcut,N500_ERp0p04,pSA,search,148,9,,,,0.5180462118592356,0.0,1.0,fixed,0.7122052824098373,0.0,0.0,0.12119735750725555,3.5176294901537175,exponential,5.5663809309361145,0.5386791654002214,last,2961,14,3000,,,,,,,,3286.3333333333335,0.665750838254956,1.0,0.02666666666666667,-0.6631753888163056,1272012,,0.6629087221496389,,,
maxcut,N500_ERp0p04,pSA,search,50,10,,,,2.737864205512716,0.0,1.0,fixed,0.4660118378153908,0.0,0.0,0.04471655331873681,2.9145394288123767,exponential,3.797019463275766,0.4298056085095656,best_state,844,156,1000,,,,,,,,3286.0,0.6656824621865799,1.0,0.04,-0.662873202631375,495950,,0.662473202631375,,,
